History_ID,Customer_ID,Service,Booking_Date,Amount_Spent
HIST000058,CUST00005,Hair Coloring,2025-06-12,107.61
HIST000059,CUST00005,Hair Styling,2025-10-25,74.03
HIST000060,CUST00007,Haircut,2024-05-13,256.68
HIST000061,CUST00007,Haircut,2024-06-08,253.08
HIST000062,CUST00007,Haircut,2024-07-02,225.83
HIST000063,CUST00007,Haircut,2024-09-21,365.9
HIST000064,CUST00007,Haircut,2024-10-14,306.54
HIST000065,CUST00007,Haircut,2024-11-04,224.37
HIST000066,CUST00007,Keratin Treatment,2024-12-11,260.39
HIST000067,CUST00007,Haircut,2025-01-08,293.1
HIST000068,CUST00007,Haircut,2025-02-09,144.39
HIST000069,CUST00007,Haircut,2025-03-07,267.19
HIST000070,CUST00007,Haircut,2025-04-12,234.63
HIST000071,CUST00007,Haircut,2025-04-30,253.06
HIST000072,CUST00007,Haircut,2025-05-30,247.57
HIST000073,CUST00007,Haircut,2025-06-29,256.58
HIST000074,CUST00007,Haircut,2025-08-26,180.87
HIST000075,CUST00007,Haircut,2025-10-08,257.42
HIST000076,CUST00007,Haircut,2025-11-08,238.13
HIST000077,CUST00007,Haircut,2025-12-01,262.75
HIST000078,CUST00007,Keratin Treatment,2026-01-05,281.59
HIST000079,CUST00008,Facial,2025-01-04,98.82
HIST000080,CUST00008,Facial,2025-05-15,112.13
HIST000081,CUST00009,Makeup,2025-09-10,118.94
HIST000082,CUST00010,Facial,2023-09-06,86.03
HIST000083,CUST00010,Skin Care,2023-11-28,60.93
HIST000084,CUST00010,Facial,2024-01-09,58.92
HIST000085,CUST00010,Facial,2024-04-07,74.11
HIST000086,CUST00010,Facial,2024-05-26,77.06
HIST000087,CUST00010,Facial,2024-07-29,74.04
HIST000088,CUST00010,Facial,2024-09-24,75.12
HIST000089,CUST00010,Facial,2024-12-17,51.13
HIST000090,CUST00010,Facial,2025-02-28,76.88
HIST000091,CUST00010,Facial,2025-06-24,85.68
HIST000092,CUST00011,Nails,2024-07-11,273.56
HIST000093,CUST00011,Makeup,2024-09-29,200.49
HIST000094,CUST00011,Makeup,2024-12-18,253.35
HIST000095,CUST00011,Makeup,2025-04-04,268.72
HIST000096,CUST00011,Hair Styling,2025-07-10,253.27
HIST000097,CUST00011,Makeup,2025-09-08,290.01
HIST000098,CUST00011,Makeup,2025-12-16,163.13
HIST000099,CUST00011,Makeup,2026-03-09,212.05
HIST000100,CUST00012,Nail Care,2024-07-03,145.81
HIST000101,CUST00012,Nail Care,2024-09-10,141.57
HIST000102,CUST00012,Nail Care,2024-11-25,128.48
HIST000103,CUST00012,Facial,2025-02-06,146.93
HIST000104,CUST00012,Nail Care,2025-03-26,141.41
HIST000105,CUST00012,Nail Care,2025-05-01,180.98
HIST000106,CUST00012,Nail Care,2025-06-11,107.87
HIST000107,CUST00012,Nail Care,2025-07-17,94.89
HIST000108,CUST00012,Aromatherapy,2025-10-24,126.53
HIST000109,CUST00012,Aromatherapy,2025-12-28,151.89
HIST000110,CUST00013,Nail Care,2023-11-10,50.1
HIST000111,CUST00013,Nail Care,2024-01-04,62.46
HIST000112,CUST00013,Nail Care,2024-02-19,61.64
HIST000113,CUST00013,Nail Care,2024-03-27,69.83
HIST000114,CUST00013,Nail Care,2024-05-17,46.75
HIST000115,CUST00013,Nail Care,2024-07-03,56.2
HIST000116,CUST00013,Aromatherapy,2024-09-06,62.09
HIST000117,CUST00013,Nail Care,2024-12-16,61.81
HIST000118,CUST00013,Nail Care,2025-02-15,75.43
HIST000119,CUST00013,Nail Care,2025-05-26,60.25
HIST000120,CUST00014,Nail Care,2025-07-02,65.39
HIST000121,CUST00015,Nail Care,2026-01-15,134.69
HIST000122,CUST00016,Keratin Treatment,2023-10-08,54.16
HIST000123,CUST00016,Haircut,2023-12-18,53.04
HIST000124,CUST00016,Haircut,2024-02-01,47.63
HIST000125,CUST00016,Haircut,2024-05-04,47.1
HIST000126,CUST00016,Haircut,2024-09-05,58.05
HIST000127,CUST00016,Haircut,2024-11-01,30.15
HIST000128,CUST00016,Haircut,2024-12-25,56.87
HIST000129,CUST00016,Haircut,2025-02-06,60.47
HIST000130,CUST00016,Haircut,2025-03-08,50.96
HIST000131,CUST00016,Haircut,2025-04-13,42.28
HIST000132,CUST00017,Massage,2023-09-28,61.52
HIST000133,CUST00017,Massage,2023-11-19,84.5
HIST000134,CUST00017,Massage,2024-01-31,85.18
HIST000135,CUST00017,Massage,2024-06-26,85.69
HIST000136,CUST00017,Massage,2024-08-17,73.76
HIST000137,CUST00017,Massage,2024-09-08,67.58
HIST000138,CUST00017,Massage,2024-10-15,66.72
HIST000139,CUST00017,Massage,2024-12-03,105.46
HIST000140,CUST00017,Massage,2025-02-27,82.63
HIST000141,CUST00017,Reflexology,2025-06-08,63.35
HIST000142,CUST00018,Haircut,2025-10-19,63.91
HIST000143,CUST00018,Haircut,2026-01-08,64.1
HIST000144,CUST00019,Facial,2024-07-24,179.57
HIST000145,CUST00019,Spa,2024-10-29,191.58
HIST000146,CUST00019,Spa,2025-01-29,194.88
HIST000147,CUST00019,Spa,2025-05-10,217.87
HIST000148,CUST00019,Spa,2025-08-20,189.17
HIST000149,CUST00019,Spa,2025-10-15,208.35
HIST000150,CUST00019,Spa,2026-01-09,154.26
HIST000151,CUST00020,Makeup,2024-01-04,289.38
HIST000152,CUST00020,Makeup,2024-02-10,263.1
HIST000153,CUST00020,Makeup,2024-03-04,505.03
HIST000154,CUST00020,Makeup,2024-03-28,246.12
HIST000155,CUST00020,Makeup,2024-04-15,353.06
HIST000156,CUST00020,Makeup,2024-04-30,271.74
HIST000157,CUST00020,Nails,2024-06-21,275.57
HIST000158,CUST00020,Facial,2024-07-21,243.18
HIST000159,CUST00020,Makeup,2024-08-08,309.24
HIST000160,CUST00020,Makeup,2024-09-25,316.29
HIST000161,CUST00020,Makeup,2024-10-25,295.03
HIST000162,CUST00020,Hair Styling,2024-11-15,282.36
HIST000163,CUST00020,Facial,2024-12-03,236.84
HIST000164,CUST00020,Makeup,2025-01-27,294.72
HIST000165,CUST00020,Nails,2025-03-03,362.62
HIST000166,CUST00020,Makeup,2025-03-22,355.36
HIST000167,CUST00020,Makeup,2025-04-16,391.21
HIST000168,CUST00020,Makeup,2025-05-04,295.24
HIST000169,CUST00020,Makeup,2025-05-16,275.03
HIST000170,CUST00020,Makeup,2025-06-16,287.38
HIST000171,CUST00020,Nails,2025-07-11,284.8
HIST000172,CUST00020,Makeup,2025-08-23,222.93
HIST000173,CUST00020,Nails,2025-10-06,267.01
HIST000174,CUST00020,Makeup,2025-10-23,319.74
HIST000175,CUST00020,Makeup,2025-11-21,259.3
HIST000176,CUST00020,Makeup,2025-12-11,321.8
HIST000177,CUST00020,Makeup,2026-01-10,368.76
HIST000178,CUST00020,Makeup,2026-02-06,303.73
HIST000179,CUST00021,Haircut,2025-05-21,48.82
HIST000180,CUST00022,Massage,2024-02-21,110.12
HIST000181,CUST00022,Massage,2024-04-23,65.66
HIST000182,CUST00022,Massage,2024-08-25,157.32
HIST000183,CUST00022,Massage,2024-11-30,110.83
HIST000184,CUST00022,Massage,2025-01-31,110.13
HIST000185,CUST00022,Massage,2025-04-04,113.13
HIST000186,CUST00022,Massage,2025-06-04,68.62
HIST000187,CUST00022,Massage,2025-09-26,110.5
HIST000188,CUST00023,Hair Coloring,2024-03-18,314.54
HIST000189,CUST00023,Hair Coloring,2024-04-18,219.21
HIST000190,CUST00023,Hair Coloring,2024-05-15,274.18
HIST000191,CUST00023,Hair Styling,2024-06-18,295.68
HIST000192,CUST00023,Hair Coloring,2024-07-17,277.72
HIST000193,CUST00023,Hair Coloring,2024-08-19,378.96
HIST000194,CUST00023,Hair Styling,2024-09-07,206.56
HIST000195,CUST00023,Haircut,2024-09-26,312.56
HIST000196,CUST00023,Hair Spa,2024-11-02,299.23
HIST000197,CUST00023,Hair Coloring,2024-12-03,258.79
HIST000198,CUST00023,Hair Coloring,2025-01-19,265.64
HIST000199,CUST00023,Hair Coloring,2025-02-09,205.76
HIST000200,CUST00023,Hair Coloring,2025-02-26,452.19
HIST000201,CUST00023,Hair Coloring,2025-03-11,252.05
HIST000202,CUST00023,Hair Coloring,2025-04-22,253.21
HIST000203,CUST00023,Hair Styling,2025-05-19,213.52
HIST000204,CUST00023,Hair Coloring,2025-06-08,225.36
HIST000205,CUST00023,Hair Coloring,2025-07-03,269.66
HIST000206,CUST00023,Hair Styling,2025-08-08,247.33
HIST000207,CUST00023,Keratin Treatment,2025-08-24,288.97
HIST000208,CUST00023,Hair Coloring,2025-09-12,253.02
HIST000209,CUST00023,Hair Coloring,2025-10-08,213.47
HIST000210,CUST00023,Hair Coloring,2025-11-05,265.01
HIST000211,CUST00023,Hair Coloring,2025-11-25,290.4
HIST000212,CUST00023,Hair Styling,2025-12-31,240.41
HIST000213,CUST00023,Hair Spa,2026-01-28,244.53
HIST000214,CUST00023,Haircut,2026-03-05,233.9
HIST000215,CUST00024,Body Scrub,2024-03-20,283.73
HIST000216,CUST00024,Spa,2024-05-21,207.71
HIST000217,CUST00024,Spa,2024-07-09,351.54
HIST000218,CUST00024,Spa,2024-09-28,273.14
HIST000219,CUST00024,Spa,2024-12-17,252.36
HIST000220,CUST00024,Spa,2025-02-19,346.13
HIST000221,CUST00024,Spa,2025-05-12,274.91
HIST000222,CUST00024,Aromatherapy,2025-07-10,289.92
HIST000223,CUST00025,Makeup,2023-06-27,232.05
HIST000224,CUST00025,Makeup,2023-07-30,112.36
HIST000225,CUST00025,Makeup,2023-08-19,137.85
HIST000226,CUST00025,Makeup,2023-09-12,147.13
HIST000227,CUST00025,Makeup,2023-10-25,149.24
HIST000228,CUST00025,Makeup,2023-11-11,141.28
HIST000229,CUST00025,Makeup,2023-12-20,166.51
HIST000230,CUST00025,Makeup,2024-01-27,164.56
HIST000231,CUST00025,Makeup,2024-03-01,152.83
HIST000232,CUST00025,Makeup,2024-04-07,142.46
HIST000233,CUST00025,Skin Care,2024-05-11,151.12
HIST000234,CUST00025,Makeup,2024-06-27,157.58
HIST000235,CUST00025,Makeup,2024-07-26,139.63
HIST000236,CUST00025,Makeup,2024-08-25,168.19
HIST000237,CUST00025,Makeup,2024-10-12,177.62
HIST000238,CUST00025,Makeup,2024-11-07,187.43
HIST000239,CUST00025,Makeup,2024-12-23,185.84
HIST000240,CUST00025,Hair Styling,2025-04-05,137.11
HIST000241,CUST00025,Makeup,2025-05-13,143.57
HIST000242,CUST00025,Makeup,2025-06-17,197.17
HIST000243,CUST00025,Makeup,2025-07-20,165.09
HIST000244,CUST00025,Makeup,2025-09-21,157.7
HIST000245,CUST00026,Spa,2024-02-21,292.2
HIST000246,CUST00026,Spa,2024-03-15,322.33
HIST000247,CUST00026,Body Scrub,2024-04-04,364.27
HIST000248,CUST00026,Spa,2024-05-09,353.07
HIST000249,CUST00026,Spa,2024-06-12,360.01
HIST000250,CUST00026,Body Scrub,2024-06-28,599.19
HIST000251,CUST00026,Spa,2024-07-06,371.02
HIST000252,CUST00026,Spa,2024-08-09,318.96
HIST000253,CUST00026,Massage,2024-08-20,428.01
HIST000254,CUST00026,Spa,2024-09-22,336.82
HIST000255,CUST00026,Spa,2024-10-18,378.8
HIST000256,CUST00026,Spa,2024-11-19,348.34
HIST000257,CUST00026,Spa,2025-01-03,339.24
HIST000258,CUST00026,Spa,2025-02-07,322.23
HIST000259,CUST00026,Spa,2025-03-19,342.22
HIST000260,CUST00026,Spa,2025-04-20,374.17
HIST000261,CUST00026,Facial,2025-05-30,378.3
HIST000262,CUST00026,Facial,2025-07-10,411.15
HIST000263,CUST00026,Spa,2025-08-07,262.82
HIST000264,CUST00026,Massage,2025-08-27,293.18
HIST000265,CUST00026,Spa,2025-10-02,328.96
HIST000266,CUST00026,Spa,2025-11-04,371.76
HIST000267,CUST00026,Facial,2025-12-26,361.71
HIST000268,CUST00026,Spa,2026-02-08,246.3
HIST000269,CUST00026,Spa,2026-03-14,246.3
HIST000270,CUST00026,Spa,2026-04-12,341.86
HIST000271,CUST00027,Massage,2023-09-19,52.04
HIST000272,CUST00027,Aromatherapy,2023-12-24,51.25
HIST000273,CUST00027,Massage,2024-03-01,48.88
HIST000274,CUST00027,Reflexology,2024-04-26,60.07
HIST000275,CUST00027,Massage,2024-07-15,47.75
HIST000276,CUST00027,Massage,2024-09-10,60.4
HIST000277,CUST00027,Massage,2024-11-22,60.14
HIST000278,CUST00027,Massage,2025-03-05,57.89
HIST000279,CUST00027,Massage,2025-06-11,55.38
HIST000280,CUST00028,Nail Care,2024-06-08,165.7
HIST000281,CUST00028,Nail Care,2024-07-21,158.65
HIST000282,CUST00028,Aromatherapy,2024-09-18,125.66
HIST000283,CUST00028,Nail Care,2024-11-18,170.53
HIST000284,CUST00028,Nail Care,2025-03-02,143.2
HIST000285,CUST00028,Nail Care,2025-05-15,173.63
HIST000286,CUST00028,Nail Care,2025-06-27,141.89
HIST000287,CUST00028,Nail Care,2025-08-28,154.77
HIST000288,CUST00028,Aromatherapy,2025-10-17,177.54
HIST000289,CUST00028,Nail Care,2026-01-18,180.96
HIST000290,CUST00029,Spa,2024-02-17,89.85
HIST000291,CUST00029,Spa,2024-04-07,102.64
HIST000292,CUST00029,Spa,2024-07-18,92.95
HIST000293,CUST00029,Facial,2024-09-10,136.98
HIST000294,CUST00029,Spa,2024-12-15,86.3
HIST000295,CUST00029,Spa,2025-03-24,110.55
HIST000296,CUST00029,Spa,2025-07-01,85.56
HIST000297,CUST00030,Facial,2023-10-15,537.64
HIST000298,CUST00030,Facial,2023-11-27,333.11
HIST000299,CUST00030,Facial,2023-12-23,372.57
HIST000300,CUST00030,Facial,2024-01-19,295.76
HIST000301,CUST00030,Facial,2024-02-21,495.02
HIST000302,CUST00030,Skin Care,2024-03-13,370.56
HIST000303,CUST00030,Spa,2024-04-10,249.98
HIST000304,CUST00030,Facial,2024-05-16,324.83
HIST000305,CUST00030,Facial,2024-06-13,278.84
HIST000306,CUST00030,Facial,2024-07-20,276.19
HIST000307,CUST00030,Facial,2024-08-26,450.71
HIST000308,CUST00030,Facial,2024-09-18,285.77
HIST000309,CUST00030,Makeup,2024-10-19,220.88
HIST000310,CUST00030,Facial,2024-11-21,229.02
HIST000311,CUST00030,Facial,2024-12-17,255.44
HIST000312,CUST00030,Facial,2025-01-07,304.87
HIST000313,CUST00030,Facial,2025-01-20,324.43
HIST000314,CUST00030,Facial,2025-01-31,268.09
HIST000315,CUST00030,Makeup,2025-03-19,338.08
HIST000316,CUST00030,Facial,2025-04-14,330.81
HIST000317,CUST00030,Facial,2025-05-09,283.18
HIST000318,CUST00030,Facial,2025-06-04,255.92
HIST000319,CUST00030,Facial,2025-06-30,220.88
HIST000320,CUST00030,Facial,2025-08-10,320.82
HIST000321,CUST00030,Facial,2025-09-03,307.92
HIST000322,CUST00030,Facial,2025-10-15,333.33
HIST000323,CUST00030,Facial,2025-11-04,361.63
HIST000324,CUST00030,Facial,2025-11-28,379.09
HIST000325,CUST00030,Facial,2025-12-17,351.66
HIST000326,CUST00030,Facial,2025-12-29,289.08
HIST000327,CUST00031,Haircut,2024-04-06,128.12
HIST000328,CUST00031,Haircut,2024-05-26,158.31
HIST000329,CUST00031,Haircut,2024-07-14,176.32
HIST000330,CUST00031,Hair Spa,2024-09-22,137.48
HIST000331,CUST00031,Haircut,2024-11-09,132.43
HIST000332,CUST00031,Haircut,2025-02-24,240.31
HIST000333,CUST00031,Haircut,2025-05-23,140.67
HIST000334,CUST00031,Haircut,2025-06-28,104.47
HIST000335,CUST00031,Hair Coloring,2025-08-26,146.33
HIST000336,CUST00031,Haircut,2025-09-28,118.16
HIST000337,CUST00032,Nail Care,2024-02-06,125.06
HIST000338,CUST00032,Nail Care,2024-04-16,89.37
HIST000339,CUST00032,Nail Care,2024-06-24,137.23
HIST000340,CUST00032,Nail Care,2024-09-17,89.37
HIST000341,CUST00032,Facial,2025-01-02,89.37
HIST000342,CUST00032,Nail Care,2025-06-12,103.62
HIST000343,CUST00032,Nail Care,2025-08-30,112.4
HIST000344,CUST00033,Haircut,2025-06-18,141.94
HIST000345,CUST00033,Haircut,2025-12-04,115.72
HIST000346,CUST00034,Keratin Treatment,2025-02-23,92.23
HIST000347,CUST00034,Hair Coloring,2025-05-24,130.94
HIST000348,CUST00034,Hair Coloring,2025-08-16,100.77
HIST000349,CUST00034,Hair Coloring,2026-01-30,123.11
HIST000350,CUST00035,Makeup,2024-07-13,127.28
HIST000351,CUST00035,Makeup,2024-11-13,152.1
HIST000352,CUST00035,Makeup,2025-03-08,122.58
HIST000353,CUST00035,Makeup,2025-09-11,149.85
HIST000354,CUST00035,Makeup,2026-01-02,161.66
HIST000355,CUST00036,Skin Care,2023-09-30,124.83
HIST000356,CUST00036,Makeup,2023-11-28,146.94
HIST000357,CUST00036,Makeup,2023-12-22,87.7
HIST000358,CUST00036,Makeup,2024-02-21,119.0
HIST000359,CUST00036,Skin Care,2024-03-31,123.42
HIST000360,CUST00036,Facial,2024-05-10,80.58
HIST000361,CUST00036,Facial,2024-06-17,147.0
HIST000362,CUST00036,Makeup,2024-07-24,175.73
HIST000363,CUST00036,Makeup,2024-09-01,132.09
HIST000364,CUST00036,Makeup,2024-10-23,131.63
HIST000365,CUST00036,Makeup,2025-01-17,141.98
HIST000366,CUST00036,Makeup,2025-03-08,167.91
HIST000367,CUST00036,Makeup,2025-04-05,133.66
HIST000368,CUST00036,Hair Styling,2025-05-29,121.66
HIST000369,CUST00036,Makeup,2025-07-08,114.67
HIST000370,CUST00036,Makeup,2025-08-19,95.07
HIST000371,CUST00037,Facial,2024-02-07,171.63
HIST000372,CUST00037,Facial,2024-05-29,222.1
HIST000373,CUST00037,Facial,2024-09-19,217.26
HIST000374,CUST00037,Facial,2025-03-13,171.14
HIST000375,CUST00037,Makeup,2025-05-11,203.26
HIST000376,CUST00037,Spa,2025-09-17,184.61
HIST000377,CUST00037,Facial,2026-01-19,162.38
HIST000378,CUST00038,Haircut,2023-08-26,249.34
HIST000379,CUST00038,Hair Coloring,2023-09-11,249.1
HIST000380,CUST00038,Hair Coloring,2023-09-27,259.37
HIST000381,CUST00038,Hair Coloring,2023-10-23,285.21
HIST000382,CUST00038,Hair Coloring,2023-11-29,300.08
HIST000383,CUST00038,Hair Coloring,2023-12-29,251.25
HIST000384,CUST00038,Hair Coloring,2024-01-17,323.5
HIST000385,CUST00038,Haircut,2024-02-06,291.93
HIST000386,CUST00038,Hair Coloring,2024-03-13,271.23
HIST000387,CUST00038,Haircut,2024-04-11,277.94
HIST000388,CUST00038,Hair Styling,2024-05-29,307.09
HIST000389,CUST00038,Hair Coloring,2024-06-25,208.61
HIST000390,CUST00038,Haircut,2024-08-22,245.57
HIST000391,CUST00038,Hair Styling,2024-09-16,198.97
HIST000392,CUST00038,Hair Coloring,2024-10-29,196.47
HIST000393,CUST00038,Hair Styling,2024-11-21,265.68
HIST000394,CUST00038,Hair Coloring,2024-12-16,314.1
HIST000395,CUST00038,Hair Spa,2025-01-16,429.09
HIST000396,CUST00038,Haircut,2025-02-08,284.7
HIST000397,CUST00038,Hair Coloring,2025-03-01,228.38
HIST000398,CUST00038,Hair Coloring,2025-03-24,236.23
HIST000399,CUST00038,Haircut,2025-05-07,237.34
HIST000400,CUST00038,Hair Coloring,2025-07-04,262.91
HIST000401,CUST00038,Hair Coloring,2025-08-02,281.93
HIST000402,CUST00038,Hair Coloring,2025-08-27,324.98
HIST000403,CUST00038,Hair Coloring,2025-10-09,204.85
HIST000404,CUST00038,Hair Coloring,2025-10-25,293.94
HIST000405,CUST00038,Hair Coloring,2025-11-23,213.01
HIST000406,CUST00038,Hair Coloring,2025-12-14,177.57
HIST000407,CUST00038,Hair Coloring,2026-01-21,248.87
HIST000408,CUST00039,Spa,2025-11-20,185.4
HIST000409,CUST00039,Spa,2026-03-14,192.97
HIST000410,CUST00040,Massage,2024-11-09,149.61
HIST000411,CUST00040,Massage,2024-12-18,139.64
HIST000412,CUST00040,Facial,2025-03-15,128.65
HIST000413,CUST00040,Facial,2025-05-26,110.32
HIST000414,CUST00040,Facial,2025-07-10,161.53
HIST000415,CUST00040,Facial,2025-09-02,133.6
HIST000416,CUST00040,Facial,2025-10-21,114.53
HIST000417,CUST00040,Facial,2025-12-05,128.12
HIST000418,CUST00040,Facial,2026-01-25,151.74
HIST000419,CUST00041,Nail Care,2024-10-24,182.04
HIST000420,CUST00041,Nail Care,2025-05-03,125.85
HIST000421,CUST00041,Nail Care,2025-08-31,186.99
HIST000422,CUST00041,Nail Care,2026-01-01,161.42
HIST000423,CUST00042,Nail Care,2023-07-26,85.5
HIST000424,CUST00042,Nail Care,2024-01-16,67.36
HIST000425,CUST00042,Nail Care,2024-04-01,82.89
HIST000426,CUST00042,Nail Care,2024-05-21,84.45
HIST000427,CUST00042,Nail Care,2024-07-25,61.16
HIST000428,CUST00042,Nail Care,2024-09-25,81.32
HIST000429,CUST00042,Nail Care,2024-11-22,64.5
HIST000430,CUST00042,Nail Care,2025-01-31,58.49
HIST000431,CUST00042,Nail Care,2025-03-27,64.26
HIST000432,CUST00042,Hair Coloring,2025-05-24,79.87
HIST000433,CUST00043,Massage,2024-03-21,103.2
HIST000434,CUST00043,Aromatherapy,2024-04-20,106.49
HIST000435,CUST00043,Massage,2024-06-22,101.18
HIST000436,CUST00043,Massage,2024-07-24,118.97
HIST000437,CUST00043,Aromatherapy,2024-09-13,100.4
HIST000438,CUST00043,Massage,2024-10-31,89.51
HIST000439,CUST00043,Massage,2025-01-05,122.48
HIST000440,CUST00043,Massage,2025-04-01,181.77
HIST000441,CUST00043,Massage,2025-05-17,185.54
HIST000442,CUST00043,Massage,2025-06-29,64.21
HIST000443,CUST00043,Massage,2025-08-20,96.73
HIST000444,CUST00043,Massage,2025-11-11,110.51
HIST000445,CUST00044,Spa,2024-12-21,153.75
HIST000446,CUST00044,Facial,2025-02-19,139.37
HIST000447,CUST00044,Facial,2025-10-30,170.17
HIST000448,CUST00044,Facial,2026-01-31,136.72
HIST000449,CUST00045,Haircut,2025-03-25,120.38
HIST000450,CUST00045,Haircut,2025-06-02,105.64
HIST000451,CUST00045,Haircut,2025-09-04,104.56
HIST000452,CUST00045,Haircut,2026-01-04,73.91
HIST000453,CUST00045,Haircut,2026-02-17,112.88
HIST000454,CUST00046,Haircut,2023-11-08,233.84
HIST000455,CUST00046,Hair Coloring,2023-12-05,267.75
HIST000456,CUST00046,Hair Styling,2024-01-10,200.07
HIST000457,CUST00046,Hair Styling,2024-02-06,171.25
HIST000458,CUST00046,Hair Coloring,2024-03-02,241.96
HIST000459,CUST00046,Hair Coloring,2024-04-12,169.74
HIST000460,CUST00046,Hair Coloring,2024-05-03,176.34
HIST000461,CUST00046,Hair Coloring,2024-06-11,232.88
HIST000462,CUST00046,Keratin Treatment,2024-08-05,150.61
HIST000463,CUST00046,Hair Coloring,2024-09-02,229.32
HIST000464,CUST00046,Hair Coloring,2024-10-06,241.66
HIST000465,CUST00046,Hair Coloring,2024-10-30,218.01
HIST000466,CUST00046,Hair Styling,2024-11-30,208.95
HIST000467,CUST00046,Hair Coloring,2024-12-20,200.37
HIST000468,CUST00046,Hair Coloring,2025-02-03,199.64
HIST000469,CUST00046,Haircut,2025-03-02,204.84
HIST000470,CUST00046,Hair Coloring,2025-03-22,196.21
HIST000471,CUST00046,Hair Coloring,2025-04-21,222.14
HIST000472,CUST00046,Hair Coloring,2025-05-23,197.18
HIST000473,CUST00046,Hair Styling,2025-06-24,223.15
HIST000474,CUST00046,Hair Coloring,2025-07-27,210.34
HIST000475,CUST00046,Hair Coloring,2025-08-29,151.99
HIST000476,CUST00046,Hair Coloring,2025-09-25,217.2
HIST000477,CUST00047,Hair Coloring,2024-08-11,154.06
HIST000478,CUST00047,Haircut,2024-10-17,160.38
HIST000479,CUST00047,Haircut,2025-01-12,168.34
HIST000480,CUST00047,Haircut,2025-04-24,161.06
HIST000481,CUST00047,Haircut,2025-07-26,153.34
HIST000482,CUST00047,Haircut,2025-09-26,139.04
HIST000483,CUST00047,Haircut,2025-12-13,159.34
HIST000484,CUST00047,Haircut,2026-02-24,125.75
HIST000485,CUST00048,Hair Styling,2024-05-30,215.12
HIST000486,CUST00048,Hair Coloring,2024-08-05,175.18
HIST000487,CUST00048,Hair Coloring,2024-09-18,163.15
HIST000488,CUST00048,Hair Coloring,2024-10-24,211.31
HIST000489,CUST00048,Hair Coloring,2024-12-18,229.98
HIST000490,CUST00048,Hair Coloring,2025-02-15,211.18
HIST000491,CUST00048,Hair Coloring,2025-03-29,179.46
