query,intent
Kindly cancel my reservation for February 3 at 11:00 AM. Ref CAN-01363,cancellation
What should I bring for my first nail appointment? Ref GEN-00785,general_query
Do you have parking available at the downtown branch? Ref GEN-03548,general_query
What are your rates for cleaning on weekends? #pri-677,pricing
What are your operating hours on Monday? Ref GEN-04097,general_query
Is cancellation free for first-time users? #can-75,general_query
I want to book a nail appointment on Monday at 5:00 PM. Ref BOO-00738,booking
Please help me reschedule my booking to 9:30 AM instead of 5:00 PM. Ref RES-00590,reschedule
I want to change my consultation appointment to next Monday. Ref RES-01474,reschedule
Do you have parking available at the city center location? Ref GEN-03021,general_query
Do I need to arrive early for a consultation? Ref GEN-01604,general_query
price? end of lease,pricing
Do you have parking available at the west end studio? Ref GEN-03853,general_query
Where is your downtown branch located exactly? Ref GEN-00549,general_query
What is the price for nail appointment at the north side office? Ref PRI-01480,pricing
Do I need to arrive early for a therapy session? Ref GEN-00820,general_query
Can you delete my booking for spring cleaning tomorrow in Wollongong?,cancellation
Please cancel my booking for Tuesday at 8:00 AM. Ref CAN-00905,cancellation
Could you reschedule my reservation at the west end studio to 8:00 AM? Ref RES-02974,reschedule
Need this cancelled immediately: spring cleaning 18 May around 6pm.,cancellation
What is the price for massage at the north side office? Ref PRI-00230,pricing
I need to lock in massage on 22 May at Friday night near Newcastle.,booking
Help me reserve a slot for a massage next Monday morning. Ref BOO-01808,booking
What should I bring for my first hair styling? Ref GEN-02329,general_query
"Cancel booking for tonight, can't make it. #can-465",cancellation
Please help me reschedule my booking to 5:00 PM instead of 11:00 AM. Ref RES-03384,reschedule
I need to cancel my hair styling appointment on March 21. Ref CAN-01578,cancellation
Any extra fee for spring cleaning in Fremantle ?? Ref inquiry 11006.,pricing
I need an appointment for hair styling on October 15 at 9:30 AM. Ref BOO-01227,booking
Can you schedule a 90 minutes therapy session for October 5? Ref BOO-01156,booking
Please cancel my booking for Saturday at 11:00 AM. Ref CAN-00795,cancellation
I need to reschedule my consultation from Tuesday to Wednesday. Ref RES-01805,reschedule
I have to cancel my appointment due to a conflict this Thursday. Ref CAN-01747,cancellation
Do I need to arrive early for a nail appointment? Ref GEN-00897,general_query
I need to cancel my massage appointment on May 23. Ref CAN-02421,cancellation
Do you charge extra for weekend therapy session bookings? Ref PRI-01017,pricing
How much for massage around 6pm?,pricing
I need,booking
price? end of lease cleaning #pri-1352,pricing
Please cancel my booking for Thursday at 11:00 AM. Ref CAN-02576,cancellation
Any extra fee for carpet,pricing
What should I bring for my first nail appointment? Ref GEN-04252,general_query
Can you share your pricing for a facial on March 14? Ref PRI-00958,pricing
Do I need to arrive early for a hair styling? Ref GEN-03181,general_query
I have to cancel my appointment due to a conflict this Friday. Ref CAN-02161,cancellation
"Cancel booking for tonight, can't make it. #can-2265",cancellation
Can you share your pricing for a nail appointment on January 22? Ref PRI-00126,pricing
Book two people for end of lease cleaning on 1 June around tomorrow morning in Parramatta.,booking
I want to change my massage appointment to next Sunday. Ref RES-00749,reschedule
Where is your north side office located exactly? Ref GEN-03160,general_query
Kindly cancel my reservation for January 28 at 6:30 PM. Ref CAN-00277,cancellation
Book two people for deep tissue massage on 10 June around before 9am in Parramatta.,booking
Could you reschedule my reservation at the city center location to 8:00 AM? Ref RES-02112,reschedule
I need an appointment for therapy session on May 16 at 6:30 PM. Ref BOO-00771,booking
Do prices change for evening bookings like tomorrow evening? Ref inquiry 12125.,pricing
What are your operating hours on Friday? Ref GEN-00531,general_query
I need to reschedule my nail appointment from Wednesday to Saturday. Ref RES-01164,reschedule
I want to change my hair styling appointment to next Thursday. Ref RES-01893,reschedule
Can I get pricing for hair styling at home in Richmond ?? Ref inquiry 9321.,pricing
Can I get pricing for massage at home in Melbourne CBD? #pri-334,pricing
Could you reschedule my reservation at the north side office to 6:30 PM? Ref RES-00813,reschedule
Do prices change for evening bookings like Sunday evening? #pri-1812,pricing
Can you cancel my scheduled nail appointment at the city center location? Ref CAN-01297,cancellation
"quick one, reserve a facial for Sunday evening in Fortitude Valley? Ref #11028.",booking
Book two people for relaxation massage on 15 July around tomorrow morning in Gold Coast.,booking
Need info: cancellation terms for bookings on weekends. #can-67,general_query
Could you reschedule my reservation at the city center location to 1:00 PM? Ref RES-02438,reschedule
Help me reserve a slot for a nail appointment next Tuesday morning. Ref BOO-01267,booking
Do you charge extra for weekend facial bookings? Ref PRI-01506,pricing
I want to change my massage appointment to next Friday. Ref RES-00963,reschedule
I need to reschedule my facial from Friday to Friday. Ref RES-01835,reschedule
I need to reschedule my nail appointment from Monday to Wednesday. Ref RES-00227,reschedule
Please book me for massage at the west end studio this Sunday. Ref BOO-00550,booking
I need to reschedule my massage from Sunday to Sunday. Ref RES-01387,reschedule
Book two people for cleaning on 22 May around next Monday in Wollongong.,booking
What are your rates for pedicure on weekends? #pri-1594,pricing
I need an appointment for massage on December 23 at 5:00 PM. Ref BOO-01816,booking
Where is your downtown branch located exactly? Ref GEN-01948,general_query
Please help me reschedule my booking to 3:30 PM instead of 1:00 PM. Ref RES-03963,reschedule
Do you have parking available at the downtown branch? Ref GEN-03210,general_query
Can you schedule a 45 minutes consultation for July 2? Ref BOO-01352,booking
Need a therapist at home in Wollongong for cleaning next Monday.,booking
Do you charge extra for weekend facial bookings? Ref PRI-00494,pricing
I need to schedule manicure on 1 June at lunchtime near Wollongong.,booking
Do you have parking available at the west end studio? Ref GEN-03205,general_query
"Before I confirm, what would relaxation massage cost for two people? #pri-1251",pricing
Do I need to arrive early for a hair styling? Ref GEN-01240,general_query
Can I move my appointment on December 8 to August 14? Ref RES-00220,reschedule
I want to change my nail appointment appointment to next Monday. Ref RES-02820,reschedule
"I might book later, just need a quote for hair styling first. #pri-2534",pricing
"nah cancel that, delete that appointment.",cancellation
Where is your north side office located exactly? Ref GEN-01208,general_query
Where is your city center location located exactly? Ref GEN-03877,general_query
Please help me reschedule my booking to 9:30 AM instead of 1:00 PM. Ref RES-03234,reschedule
Where is your north side office located exactly? Ref GEN-01807,general_query
Can you share your pricing for a consultation on April 10? Ref PRI-00047,pricing
Can I move my appointment on October 4 to November 28? Ref RES-00839,reschedule
ok proceed for the massage slot around 7:30pm in Richmond.,booking
Can I get pricing for mobile beauty at home in Adelaide CBD? #pri-2826,pricing
Can I get pricing for cleaning at home in Glenelg? Ref inquiry 9227.,pricing
Can you schedule a 1 hour massage for December 23? Ref BOO-02035,booking
I want to change my consultation appointment to next Tuesday. Ref RES-01621,reschedule
"I want to reschedule instead of cncl, but if not possible remove it. #can-1743",reschedule
Can you schedule a 45 minutes consultation for September 7? Ref BOO-02289,booking
Book two people for physio session on 9 July around around 7:30pm in Fortitude Valley.,booking
I want to change my therapy session appointment to next Saturday. Ref RES-04011,reschedule
I want to change my massage appointment to next Saturday. Ref RES-01622,reschedule
ok proceed for the remedial massage slot around 7:30pm in Canberra City. Ref #11904.,booking
Do you have parking available at the north side office? Ref GEN-03840,general_query
"do that now, delete that appointment. #can-591",cancellation
Please cancel my booking for Tuesday at 11:00 AM. Ref CAN-01680,cancellation
Can we move my massage appt to around 7:30pm at Parramatta?,booking
Where is your west end studio located exactly? Ref GEN-01462,general_query
Can we move my carpet cleaning appointment to next Tuesday afternoon at Melbourne CBD?,reschedule
What should I bring for my first facial? Ref GEN-00288,general_query
I want to book a consultation on Saturday at 8:00 AM. Ref BOO-01740,booking
"cleaning booking for 5 June, Friday night, Gold Coast.",booking
waxing appt in Brisbane City before 9am - remove pls.,cancellation
Need info: cancellation terms for bookings on weekends. #can-1274,general_query
Can I move my appointment on May 5 to March 19? Ref RES-00995,reschedule
Please cancel my booking for Friday at 3:30 PM. Ref CAN-00157,cancellation
Can you schedule a 30 minutes massage for February 10? Ref BOO-01855,booking
Could you reschedule my reservation at the downtown branch to 5:00 PM? Ref RES-01518,reschedule
Where is your west end studio located exactly? Ref GEN-00125,general_query
I have to cancel my appointment due to a conflict this Friday. Ref CAN-02351,cancellation
Can you arrange me for physio session tonight? I'm in Gold Coast.,booking
I need to cancel my nail appointment appointment on May 9. Ref CAN-01493,cancellation
Do you have parking available at the north side office? Ref GEN-03184,general_query
What are your operating hours on Thursday? Ref GEN-04172,general_query
"immediately, rough cost for a spring cleaning in Fortitude Valley?",pricing
Where is your city center location located exactly? Ref GEN-00670,general_query
Do I need to arrive early for a consultation? Ref GEN-03028,general_query
Do prices change for evening bokkings like next Tuesday afternoon?,pricing
What should I bring for my first massage? Ref GEN-02042,general_query
Can I move my appointment on April 14 to August 14? Ref RES-03697,reschedule
Please book me for massage at the downtown branch this Thursday. Ref BOO-01212,booking
I need to delete the session on 1 June at around 7:30pm.,cancellation
reserve,booking
I want to book a consultation on Saturday at 1:00 PM. Ref BOO-01280,booking
Need a therapist at home in Fremantle for remedial massage asap.,booking
Can I cancel without penalty if therapist is late? #can-727,general_query
I need to cancel the session on 5 June at Friday night.,cancellation
I want to change my hair styling appointment to next Wednesday. Ref RES-02203,reschedule
I have to cancel my appointment due to a conflict this Sunday. Ref CAN-01927,cancellation
Are there package discounts for multiple nail appointment sessions? Ref PRI-01141,pricing
I need to cancel my facial appointment on December 8. Ref CAN-00154,cancellation
Please cancel my booking for Friday at 6:30 PM. Ref CAN-00512,cancellation
"If I call off tomorrow's booking, what happens to payment? #can-1396",general_query
I want to change my hair styling appointment to next Monday. Ref RES-01818,reschedule
"pedicure booking for 3 July, lunchtime, Glenelg.",booking
How much does a 2 hours massage cost? Ref PRI-01541,pricing
Can you share your pricing for a facial on June 19? Ref PRI-00390,pricing
Can you schedule a 90 minutes massage for April 1? Ref BOO-00424,booking
How much for manicure before 9am?,pricing
Kindly cancel my reservation for August 7 at 8:00 AM. Ref CAN-00327,cancellation
Can you cancel my scheduled facial at the north side office? Ref CAN-01354,cancellation
What is the price for consultation at the downtown branch? Ref PRI-01351,pricing
I need to call off the session on 20 June at after work.,cancellation
I have to cancel my appointment due to a conflict this Sunday. Ref CAN-01405,cancellation
What is the price for facial at the north side office? Ref PRI-01095,pricing
I need an appointment for therapy session on April 17 at 9:30 AM. Ref BOO-00337,booking
I need to reschedule my massage from Saturday to Wednesday. Ref RES-03572,reschedule
How much for manicure Sunday evening?,pricing
Do prices change for evening bookings like before 9am? #pri-2234,pricing
Need #can-1548,cancellation
Take me off the facial slot on 22 May after work.,cancellation
What are your operating hours on Sunday? Ref GEN-00117,general_query
Do I need to arrive early for a massage? Ref GEN-03465,general_query
Can I get pricing for relaxation massage at home in Brisbane City?,pricing
Reschedule my existing booking to 28 June Sunday evening in Geelong.,reschedule
How much does a 2 hours consultation cost? Ref PRI-00123,pricing
Do I need to arrive early for a consultation? Ref GEN-02351,general_query
Can we move my physio session appointment to Sunday evening at Melbourne CBD?,reschedule
What are your rates for spring cleaning on weekends? #pri-1810,pricing
Please book me for consultation at the downtown branch this Tuesday. Ref BOO-01876,booking
"I might book later, just need a quote for physio session first. Ref inquiry 9105.",pricing
Are there package discounts for multiple facial sessions? Ref PRI-00569,pricing
Are there package discounts for multiple hair styling sessions? Ref PRI-00189,pricing
Do I need to arrive early for a consultation? Ref GEN-01536,general_query
Please call off booking ID 9189.,cancellation
"I might book later, just need a quote for waxing first. #pri-1327",pricing
Do prices change for evening bookings like tomorrow morning? #pri-1004,pricing
What should I bring for my first massage? Ref GEN-01610,general_query
Take me off the mobile beauty slot on 1 June asap.,cancellation
"yes, cancel out that appointment. #can-3202",cancellation
Reschedule my existing booking to 10 June Sunday evening in Fortitude Valley.,reschedule
Do you charge extra for weekend therapy session bookings? Ref PRI-01066,pricing
Can I get pricing for physio session at home in Melbourne CBD? #pri-2393,pricing
How many,general_query
Can you share your pricing for a therapy session on February 3? Ref PRI-01071,pricing
Can you set up me for carpet cleaning lunchtime? I'm in Richmond.,booking
price? spring cleaning #pri-1771,pricing
Please remove booking ID 8927.,cancellation
Where is your downtown branch located exactly? Ref GEN-03042,general_query
Do you have parking available at the downtown branch? Ref GEN-03237,general_query
Do you charge extra for weekend therapy session bookings? Ref PRI-00083,pricing
Can you cancel my scheduled hair styling at the north side office? Ref CAN-00178,cancellation
Need a therapist at home in Wollongong for deep tissue massage tomorrow evening.,booking
I want to change my massage appointment to next Friday. Ref RES-03998,reschedule
I want to change my massage appointment to next Wednesday. Ref RES-03939,reschedule
Please help me reschedule my booking to 1:00 PM instead of 6:30 PM. Ref RES-02964,reschedule
I want to change my hair styling appointment to next Friday. Ref RES-02943,reschedule
"physio session booking for 10 June, tomorrow morning, Perth CBD.",booking
Can you organize me for relaxation massage after work ?? I'm in Parramatta.,booking
Could you reschedule my reservation at the downtown branch to 3:30 PM? Ref RES-04024,reschedule
Do you have parking available at the north side office? Ref GEN-00584,general_query
Do you have parking available at the downtown branch? Ref GEN-03094,general_query
Can I move my appointment on May 26 to January 9? Ref RES-01395,reschedule
"manicure booking for 22 May, asap, Fortitude Valley.",booking
Do you have parking available at the downtown branch? Ref GEN-03535,general_query
Kindly cancel my reservation for November 7 at 9:30 AM. Ref CAN-02372,cancellation
Do you have parking available at the city center location? Ref GEN-03844,general_query
Could you reschedule my reservation at the north side office to 9:30 AM? Ref RES-00694,reschedule
Need a therapist at home in Gold Coast for spring cleaning tonight.,booking
I need to cancel my therapy session appointment on February 15. Ref CAN-00661,cancellation
Help me reserve a slot for a hair styling next Friday morning. Ref BOO-00289,booking
I need to delete the session on 10 June at after work.,cancellation
Do I need to arrive early for a consultation? Ref GEN-02116,general_query
Do I need to arrive early for a facial? Ref GEN-02875,general_query
Need this cancelled immediately: relaxation massage 18 May around 6pm.,cancellation
Can we move my deep tissue massage appt to 2nite at Sydney CBD?,booking
Help me reserve a slot for a consultation next Friday morning. Ref BOO-01866,booking
Could you reschedule my reservation at the west end studio to 8:00 AM? Ref RES-00326,reschedule
What should I bring for my first consultation? Ref GEN-03335,general_query
Do you have parking available at the north side office? Ref GEN-03761,general_query
Book two people for pedicure on 12 May around asap in Richmond.,booking
Kindly cancel my reservation for November 26 at 6:30 PM. Ref CAN-01544,cancellation
Please cancel booking ID 9589.,cancellation
"Cancel booking for tonight, can't make it. #can-774",cancellation
Can you share your pricing for a massage on November 5? Ref PRI-01281,pricing
How much does a 2 hours consultation cost? Ref PRI-01169,pricing
I want to change my massage appointment to next Monday. Ref RES-03578,reschedule
Do you charge extra for weekend nail appointment bookings? Ref PRI-00000,pricing
Do I need to arrive early for a consultation? Ref GEN-03428,general_query
"Cancel booking for tonight, can't make it. #can-2543",cancellation
Please cancel my booking for Tuesday at 3:30 PM. Ref CAN-02045,cancellation
I want to change my facial appointment to next Tuesday. Ref RES-03443,reschedule
Is there a surcharge in Wollongong and what's the total usually? #pri-2109,pricing
I need to void the session on 3 July at around 6pm.,cancellation
I need an appointment for therapy session on March 8 at 9:30 AM. Ref BOO-01919,booking
Any extra fee for massage in Parramatta? #pri-650,pricing
Can you make a booking for me for end of lease cleaning Friday night? I'm in Parramatta. Ref #12661.,booking
would you mind What is the price for a facial in Newcastle,pricing
I want to change my hair styling appointment to next Thursday. Ref RES-03454,reschedule
Can you cancel my scheduled hair styling at the downtown branch? Ref CAN-00145,cancellation
I need to reschedule my consultation from Monday to Monday. Ref RES-01632,reschedule
How many hours notice do I need to cncl? #can-2438,general_query
Please help me reschedule my booking to 8:00 AM instead of 3:30 PM. Ref RES-00704,reschedule
Do you charge extra for weekend therapy session bookings? Ref PRI-01165,pricing
What is the price for consultation at the west end studio? Ref PRI-00279,pricing
Please help me reschedule my booking to 11:00 AM instead of 5:00 PM. Ref RES-02677,reschedule
Help me reserve a slot for a hair styling next Monday morning. Ref BOO-00357,booking
I want to book a facial on Tuesday at 8:00 AM. Ref BOO-00247,booking
Where is your city center location located exactly? Ref GEN-01844,general_query
Do you have parking available at the city center location? Ref GEN-02119,general_query
Do I need to arrive early for a consultation? Ref GEN-01694,general_query
Please cancel my booking for Saturday at 5:00 PM. Ref CAN-00640,cancellation
cancel it for the end of lease cleaning slot around 6pm in Fremantle.,booking
What should I bring for my first facial? Ref GEN-01421,general_query
Can you remove my booking for facial tomorrow in Newcastle?,cancellation
Need this cnclled immediately: relaxation massage 10 June before 9am.,cancellation
I need to reschedule my therapy session from Thursday to Thursday. Ref RES-00202,reschedule
Could you reschedule my reservation at the west end studio to 1:00 PM? Ref RES-01487,reschedule
Please book me for therapy session at the downtown branch this Wednesday. Ref BOO-00795,booking
Help me reserve a slot for a consultation next Wednesday morning. Ref BOO-02259,booking
Do you have parking available at the city center location? Ref GEN-01352,general_query
Reschedule my existing booking to 18 May before 9am in Newcastle.,reschedule
What are your operating hours on Saturday? Ref GEN-00817,general_query
Could you reschedule my reservation at the downtown branch to 3:30 PM? Ref RES-01697,reschedule
What are your operating hours on Tuesday? Ref GEN-00049,general_query
Help me reserve a slot for a massage next Tuesday morning. Ref BOO-00779,booking
Are there package discounts for multiple therapy session sessions? Ref PRI-00741,pricing
"Tomorrow evening booking for facial at Glenelg, can this be done? #boo-2541",booking
Please cancel my booking for Sunday at 9:30 AM. Ref CAN-00737,cancellation
please proceed for the mobile beauty slot Saturday morning in Brisbane City.,booking
I want to book a facial on Saturday at 5:00 PM. Ref BOO-01389,booking
chiropractic session appt in Geelong tomorrow evening - delete pls.,cancellation
Help me reserve a slot for a hair styling next Thursday morning. Ref BOO-00909,booking
What are your operating hours on Sunday? Ref GEN-02482,general_query
What are your operating hours on Tuesday? Ref GEN-00987,general_query
Is cancellation free for first-time users? #can-2404,general_query
Could you reschedule my reservation at the downtown branch to 9:30 AM? Ref RES-00945,reschedule
I need to reschedule my massage from Tuesday to Saturday. Ref RES-02476,reschedule
I need to reschedule my therapy session from Monday to Tuesday. Ref RES-00493,reschedule
"urgent, void my carpet cleaning appointment for before 9am in Richmond.",cancellation
"Before I confirm, what would cleaning cost for two people ?? #pri-3050",pricing
What should I bring for my first massage? Ref GEN-04201,general_query
Kindly cancel my reservation for May 20 at 5:00 PM. Ref CAN-00760,cancellation
I need an appointment for therapy session on March 10 at 11:00 AM. Ref BOO-00937,booking
Could you reschedule my reservation at the north side office to 9:30 AM? Ref RES-01420,reschedule
"deep tissue massage booking for 22 May, tomorrow evening, Sydney CBD.",booking
"I want to reschedule instead of cancel, but if not possible remove it. #can-972",reschedule
What should I bring for my first hair styling? Ref GEN-00082,general_query
I need to stop the session on 12 May at tomorrow evening.,cancellation
Please book me for massage at the north side office this Tuesday. Ref BOO-01202,booking
I want to change my consultation appointment to next Monday. Ref RES-02014,reschedule
Can you put me down for me for relaxation massage around 7:30pm? I'm in Gold Coast.,booking
Can you put me down for me for end of lease cleaning after work? I'm in Glenelg.,booking
I need an appointment for massage on June 15 at 8:00 AM. Ref BOO-02250,booking
Can you stop my booking for remedial massage tomorrow in Fremantle? #can-1948,cancellation
What are your operating hours on Wednesday? Ref GEN-03172,general_query
How much does a 90 minutes hair styling cost? Ref PRI-01483,pricing
I want to book a nail appointment on Saturday at 6:30 PM. Ref BOO-01859,booking
Please help me reschedule my booking to 5:00 PM instead of 5:00 PM. Ref RES-02728,reschedule
end of lease cleaning appt in Richmond tomorrow evening - cancel out pls.,cancellation
Can you lock in me for deep tissue massage tomorrow morning? I'm in Melbourne CBD. Ref #11971.,booking
Please book me for therapy session at the city center location this Monday. Ref BOO-01084,booking
Do I need to arrive early for a nail appointment? Ref GEN-03601,general_query
Can you arrange me for pedicure lunchtime? I'm in Newcastle.,booking
What should I bring for my first hair styling? Ref GEN-03765,general_query
What should I bring for my first facial? Ref GEN-01459,general_query
I need to cancel my nail appointment appointment on January 13. Ref CAN-02009,cancellation
What are your operating hours on Tuesday? Ref GEN-01281,general_query
I need to cancel my nail appointment appointment on April 5. Ref CAN-01276,cancellation
book it for the hair styling slot before 9am in Perth CBD.,booking
What should I bring for my first hair styling? Ref GEN-02992,general_query
Could you reschedule my reservation at the city center location to 1:00 PM? Ref RES-00190,reschedule
Please cancel my booking for Wednesday at 8:00 AM. Ref CAN-00904,cancellation
Can I get pricing for physio session at home in Melbourne CBD? #pri-1790,pricing
Please cancel my booking for Tuesday at 6:30 PM. Ref CAN-01715,cancellation
Can you cancel my scheduled hair styling at the west end studio? Ref CAN-00197,cancellation
Help me reserve a slot for a therapy session next Monday morning. Ref BOO-00472,booking
Kindly cancel my reservation for April 13 at 6:30 PM. Ref CAN-00392,cancellation
I need to cancel my consultation appointment on September 19. Ref CAN-01568,cancellation
price? relaxation massage #pri-695,pricing
"If I call off tomorrow's booking, what happens to payment? #can-1695",general_query
Please help me reschedule my booking to 11:00 AM instead of 9:30 AM. Ref RES-00918,reschedule
I have to cancel my appointment due to a conflict this Friday. Ref CAN-02383,cancellation
I might #pri-1917,pricing
"Before I confirm, what would spring cleaning cost for two people? #pri-3240",pricing
price? hair styling #pri-2354,pricing
I need an appointment for nail appointment on March 4 at 8:00 AM. Ref BOO-02217,booking
Where is your north side office located exactly? Ref GEN-02072,general_query
Please help me reschedule my booking to 11:00 AM instead of 9:30 AM. Ref RES-01575,reschedule
Can you schedule a 90 minutes facial for September 3? Ref BOO-01805,booking
Can you schedule me for waxing after work,booking
Do you charge extra for weekend consultation bookings? Ref PRI-00588,pricing
What is the price for nail appointment at the west end studio? Ref PRI-01435,pricing
Do you have parking available at the north side office? Ref GEN-02905,general_query
What are your operating hours on Tuesday? Ref GEN-00251,general_query
Help me reserve a slot for a nail appointment next Friday morning. Ref BOO-02063,booking
Do I need to arrive early for a nail appointment? Ref GEN-00863,general_query
How much does a 90 minutes nail appointment cost? Ref PRI-01629,pricing
"Before I confirm, what would carpet cleaning cost for two people? #pri-1299",pricing
"I might book later, just need a quote for remedial massage first. #pri-492",pricing
How much does a 1 hour massage cost? Ref PRI-01366,pricing
Where is your north side office located exactly? Ref GEN-01544,general_query
How much for cleaning tomorrow morning? Ref inquiry 9385.,pricing
How many hours notice do I need to cancel? #can-2998,general_query
I want to change my massage appointment to next Friday. Ref RES-01333,reschedule
How much does a 45 minutes hair styling cost? Ref PRI-01286,pricing
I have to cancel my appointment due to a conflict this Friday. Ref CAN-01443,cancellation
What should I bring for my first facial? Ref GEN-00440,general_query
"carpet cleaning booking for 9 July, lunchtime, Fremantle.",booking
Please cancel my booking for Wednesday at 8:00 AM. Ref CAN-01996,cancellation
Can I get pricing for hair styling at home in Perth CBD?,pricing
Where is your city center location located exactly? Ref GEN-01637,general_query
Need a therapist at home in Melbourne CBD for chiropractic session lunchtime.,booking
What should I bring for my first hair styling? Ref GEN-03447,general_query
What is the price for hair styling at the city center location? Ref PRI-00440,pricing
"I might book later, just need a quote for relaxation massage first. #pri-832",pricing
I need to put me down for relaxation massage on 20 June at before 9am near Adelaide CBD. Ref #11698.,booking
Can you make a booking for me for cleaning tonight? I'm in Melbourne CBD.,booking
Reschedule my existing booking to 18 May next Tuesday afternoon in Bondi. Ref #12472.,reschedule
Help me reserve a slot for a massage next Thursday morning. Ref BOO-00648,booking
I need to make a booking for chiropractic session on 5 June at before 9am near Perth CBD.,booking
Take me off the facial slot on 1 June tomorrow morning.,cancellation
I need to lock in relaxation massage on 15 July at next Tuesday afternoon near Perth CBD.,booking
Where is your downtown branch located exactly? Ref GEN-00477,general_query
Do you have parking available at the west end studio? Ref GEN-03027,general_query
Help me reserve a slot for a massage next Monday morning. Ref BOO-01183,booking
Is there a surcharge in Glenelg and what's the total usually? #pri-1639,pricing
"Before I confirm, what would waxing cost for two people? #pri-2691",pricing
I need to void the session on 9 July at this afternoon.,cancellation
I want to change my massage appointment to next Tuesday. Ref RES-02215,reschedule
I want to book a massage on Tuesday at 5:00 PM. Ref BOO-01763,booking
Can we move my facial appointment to Friday night at Parramatta,reschedule
Do prices change for evening bookings like next Monday? #pri-382,pricing
"I might book later, just need a quote for deep tissue massage first. #pri-153",pricing
Can you cancel my scheduled hair styling at the north side office? Ref CAN-02624,cancellation
Can I move my appointment on September 4 to May 5? Ref RES-02393,reschedule
Any extra fee for massage in Canberra City?,pricing
Do you have parking available at the north side office? Ref GEN-04088,general_query
Take me off the spring cleaning slot on 18 May Saturday morning.,cancellation
