Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Review_Text,Last_Activity
CUST00017,10,71.19,Massage,The quality of work was inconsistent. I left feeling frustrated and ignored. I waited far beyond my appointment time. Cleanliness standards need improvement. Visit reference 0017.,2025-06-08
CUST00018,2,65.56,Haircut,Hygiene standards appeared excellent. Everything exceeded my expectations. Check-in was quick and smooth. Great attention to detail throughout the session. Visit reference 0018.,2026-01-08
CUST00019,7,193.49,Spa,"The facility was spotless and comfortable. Check-in was quick and smooth. Overall, a good visit. Service quality was acceptable but not outstanding. Visit reference 0019.",2026-01-09
CUST00020,28,288.09,Makeup,I waited a little longer than expected. The team made me feel genuinely welcome. The service quality was excellent. My stylist listened carefully to my preferences. Hygiene standards appeared excellent. Visit reference 0020.,2026-02-06
CUST00021,1,44.89,Haircut,The interaction felt rushed and impersonal. I noticed avoidable mistakes in the service. The pricing felt high for what I received. The waiting time was too long. The environment did not feel as clean as expected. I am very unhappy with this appointment. Visit reference 0021.,2025-05-21
CUST00022,8,114.04,Massage,,2025-09-26
CUST00023,27,251.65,Hair Coloring,Hygiene standards appeared excellent. Pricing was standard compared to similar places. Everyone was courteous and patient. Great attention to detail throughout the session. Excellent service from start to finish. The schedule slipped by about fifteen minutes. Visit reference 0023.,2026-03-05
CUST00024,8,288.48,Spa,Cleanliness standards need improvement. The quality of work was inconsistent. This was my worst experience at a salon. The interaction felt rushed and impersonal. Visit reference 0024.,2025-07-10
CUST00025,22,156.05,Makeup,Waiting time was minimal. The space looked reasonably maintained. Visit reference 0025.,2025-09-21
CUST00026,26,342.08,Spa,The service quality was excellent. The cost matched the overall experience. The treatment rooms were very clean. Visit reference 0026.,2026-04-12
CUST00027,9,59.16,Massage,I expected better organization and communication. The team was professional but distant. The space looked reasonably maintained. The waiting time was too long. Visit reference 0027.,2025-06-11
CUST00028,10,156.24,Nail Care,Service quality was acceptable but not outstanding. The staff were attentive and professional. The treatment rooms were very clean. Cost was in line with what I expected. I was seated almost immediately. Visit reference 0028.,2026-01-18
CUST00029,7,88.58,Spa,The delay was excessive and poorly communicated. The team was professional but distant. The quality of work was inconsistent. Cleanliness standards need improvement. Visit reference 0029.,2025-07-01
CUST00030,30,306.78,Facial,The final result looked polished and professional. Everyone was courteous and patient. The team made me feel genuinely welcome. Pricing felt fair for the quality provided. I waited a little longer than expected. The treatment rooms were very clean. Visit reference 0030.,2025-12-29
CUST00031,10,145.10,Haircut,"The result was fine for a routine visit. The staff handled requests adequately. Cost was in line with what I expected. Nothing remarkable, just standard service. Visit reference 0031.",2025-09-28
CUST00032,7,124.13,Nail Care,Service quality was acceptable. The environment was mostly tidy. The result was fine for a routine visit. Cost was in line with what I expected. There was a moderate delay before the service began. The team was professional but distant. Visit reference 0032.,2025-08-30
CUST00033,2,,Haircut,The schedule slipped by about fifteen minutes. The therapist explained each step clearly. The environment was mostly tidy. The cost matched the overall experience. Visit reference 0033.,2025-12-04
CUST00034,4,118.62,Hair Coloring,The treatment rooms were very clean. The schedule slipped by about fifteen minutes. The service quality was excellent. Pricing was standard compared to similar places. One of the best appointments I have had. My stylist listened carefully to my preferences. Visit reference 0034.,2026-01-30
CUST00035,5,143.29,Makeup,Waiting time was minimal. The facility was spotless and comfortable. The therapist explained each step clearly. Great attention to detail throughout the session. Visit reference 0035.,2026-01-02
CUST00036,16,121.81,Makeup,"There was a moderate delay before the service began. Service quality was acceptable. Cleanliness was acceptable overall. The price was acceptable, though not a bargain. The staff handled requests adequately. Visit reference 0036.",2025-08-19
CUST00037,7,196.73,Facial,"One of the best appointments I have had. The therapist explained each step clearly. There was a moderate delay before the service began. The price was acceptable, though not a bargain. The treatment rooms were very clean. The service quality was excellent. Visit reference 0037.",2026-01-19
CUST00038,30,272.88,Hair Coloring,I was seated almost immediately. Pricing was standard compared to similar places. The environment was mostly tidy. The service was solid and dependable. The service quality was excellent. Visit reference 0038.,2026-01-21
CUST00039,2,189.26,Spa,"The team made me feel genuinely welcome. Waiting time was minimal. The staff were attentive and professional. The treatment rooms were very clean. The price was acceptable, though not a bargain. Visit reference 0039.",2026-03-14
CUST00040,9,142.70,Facial,The facility was spotless and comfortable. Excellent service from start to finish. Visit reference 0040.,2026-01-25
CUST00041,4,157.12,Nail Care,Pricing was standard compared to similar places. Hygiene standards appeared excellent. The service quality was excellent. The service was solid and dependable. Visit reference 0041.,2026-01-01
CUST00042,10,81.23,Nail Care,The quality of work was inconsistent. I do not think the service justified the cost. The environment did not feel as clean as expected. Visit reference 0042.,2025-05-24
CUST00043,12,104.51,Massage,Cleanliness was acceptable overall. The result was fine for a routine visit. Cost was in line with what I expected. There was a moderate delay before the service began. Visit reference 0043.,2025-11-11
CUST00044,4,148.82,Facial,Cost was in line with what I expected. A pleasant experience with minor issues. I waited a little longer than expected. The staff handled requests adequately. Visit reference 0044.,2026-01-31
CUST00045,5,130.00,Haircut,,2026-02-17
CUST00046,23,209.18,Hair Coloring,It was an okay appointment. Staff behavior was polite but somewhat rushed. The environment was mostly tidy. There was a moderate delay before the service began. The outcome was decent with room for improvement. Pricing was standard compared to similar places. Visit reference 0046.,2025-09-25
CUST00047,8,159.10,Haircut,"Overall, a good visit. There was a moderate delay before the service began. Pricing felt fair for the quality provided. Visit reference 0047.",2026-02-24
CUST00048,15,191.72,Hair Coloring,The service quality was excellent. One of the best appointments I have had. The treatment rooms were very clean. The therapist explained each step clearly. I found the value for money reasonable. Visit reference 0048.,2026-02-07
CUST00049,6,109.65,Nail Care,I had a fantastic experience today. I found the value for money reasonable. I waited a little longer than expected. Visit reference 0049.,2025-12-15
CUST00050,25,202.69,Spa,,2025-10-08
CUST00051,8,210.44,Massage,"I was seated almost immediately. The result was fine for a routine visit. Overall, a good visit. The price was acceptable, though not a bargain. Visit reference 0051.",2025-12-29
CUST00052,5,153.37,Nail Care,The final bill felt overpriced. I waited a little longer than expected. I expected better organization and communication. Visit reference 0052.,2025-07-14
CUST00053,5,145.61,Haircut,The team made me feel genuinely welcome. The staff were attentive and professional. Visit reference 0053.,2026-01-19
CUST00054,8,,Facial,The staff did not handle feedback well. The waiting time was too long. The visit was deeply disappointing. Visit reference 0054.,2025-05-16
CUST00055,25,200.47,Nail Care,It was an okay appointment. The schedule slipped by about fifteen minutes. The team was professional but distant. Service quality was acceptable but not outstanding. Cost was in line with what I expected. Visit reference 0055.,2025-07-22
CUST00056,8,95.43,Facial,The staff did not handle feedback well. The environment did not feel as clean as expected. Visit reference 0056.,2025-04-22
CUST00057,23,347.46,Hair Coloring,A pleasant experience with minor issues. I waited a little longer than expected. The result was fine for a routine visit. Visit reference 0057.,2025-12-27
CUST00058,28,333.03,Makeup,"I waited a little longer than expected. The price was acceptable, though not a bargain. Visit reference 0058.",2025-12-28
CUST00059,4,34.10,Hair Coloring,There was a moderate delay before the service began. The final bill felt overpriced. The staff seemed distracted and uncoordinated. The environment was mostly tidy. Service quality was acceptable but not outstanding. I expected better organization and communication. Visit reference 0059.,2025-05-02
CUST00060,9,173.58,Haircut,The staff were attentive and professional. I waited a little longer than expected. One of the best appointments I have had. The cost matched the overall experience. The treatment rooms were very clean. The service quality was excellent. Visit reference 0060.,2026-04-11
CUST00061,3,150.12,Hair Coloring,Check-in was quick and smooth. Everything exceeded my expectations. Everyone was courteous and patient. Visit reference 0061.,2026-01-09
CUST00062,9,53.34,Nail Care,"Service quality was acceptable but not outstanding. Communication was clear, though not very warm. The final bill felt overpriced. The overall experience felt frustrating. Visit reference 0062.",2025-08-14
CUST00063,8,79.74,Spa,"Nothing remarkable, just standard service. The space looked reasonably maintained. There was a moderate delay before the service began. Communication was clear, though not very warm. Service quality was acceptable but not outstanding. Visit reference 0063.",2025-07-18
CUST00064,3,143.70,Haircut,Pricing was standard compared to similar places. Hygiene standards appeared excellent. The service was solid and dependable. The therapist explained each step clearly. I waited a little longer than expected. The final result looked polished and professional. Visit reference 0064.,2026-02-21
CUST00065,3,45.88,Spa,"Communication was clear, though not very warm. The schedule slipped by about fifteen minutes. Cost was in line with what I expected. The visit was average. Service quality was acceptable but not outstanding. Visit reference 0065.",2025-08-02
CUST00066,4,66.09,Nail Care,The environment was mostly tidy. The result was fine for a routine visit. The team was professional but distant. The visit was average. Cost was in line with what I expected. Visit reference 0066.,2025-07-30
CUST00067,14,173.94,Hair Coloring,The staff handled requests adequately. I waited a little longer than expected. Cost was in line with what I expected. The environment was mostly tidy. Visit reference 0067.,2025-12-20
CUST00068,8,160.79,Facial,The facility was spotless and comfortable. Pricing was standard compared to similar places. The team made me feel genuinely welcome. The staff were attentive and professional. Visit reference 0068.,2025-12-08
CUST00069,7,140.89,Haircut,The staff were attentive and professional. Pricing felt fair for the quality provided. The facility was spotless and comfortable. Check-in was quick and smooth. Great attention to detail throughout the session. The appointment went fairly well. Visit reference 0069.,2025-11-23
CUST00070,5,85.83,Haircut,The space looked reasonably maintained. The outcome was decent with room for improvement. Pricing was standard compared to similar places. Staff behavior was polite but somewhat rushed. Visit reference 0070.,2025-08-20
CUST00071,9,139.29,,I was seated almost immediately. My stylist listened carefully to my preferences. Visit reference 0071.,2025-11-16
CUST00072,2,115.87,Facial,The staff did not handle feedback well. The environment did not feel as clean as expected. There was a moderate delay before the service began. The pricing felt high for what I received. Visit reference 0072.,2025-07-01
CUST00073,7,37.75,Nail Care,"The price was acceptable, though not a bargain. Nothing remarkable, just standard service. The staff handled requests adequately. The schedule slipped by about fifteen minutes. Visit reference 0073.",2025-08-24
CUST00074,6,90.33,Nail Care,The service quality was far below acceptable. The staff seemed distracted and uncoordinated. The delay was excessive and poorly communicated. Some areas did not look properly maintained. I noticed avoidable mistakes in the service. Visit reference 0074.,2025-04-13
CUST00075,4,61.28,Nail Care,"The visit was average. Cost was in line with what I expected. I waited a little longer than expected. Communication was clear, though not very warm. The environment was mostly tidy. Visit reference 0075.",2025-07-24
CUST00076,23,241.52,Makeup,My stylist listened carefully to my preferences. The cost matched the overall experience. I was seated almost immediately. Great attention to detail throughout the session. The facility was spotless and comfortable. Visit reference 0076.,2025-12-29
CUST00077,10,165.23,Facial,The result was fine for a routine visit. Pricing was standard compared to similar places. Waiting time was minimal. The service was solid and dependable. Visit reference 0077.,2026-02-07
CUST00078,10,134.73,Makeup,Great attention to detail throughout the session. I waited a little longer than expected. I found the value for money reasonable. The treatment rooms were very clean. The staff were attentive and professional. I left satisfied with the result. Visit reference 0078.,2025-09-14
CUST00079,25,336.07,Spa,"The treatment rooms were very clean. Everyone was courteous and patient. Excellent service from start to finish. I was seated almost immediately. The service quality was excellent. The price was acceptable, though not a bargain. Visit reference 0079.",2026-01-26
CUST00080,23,223.96,Massage,"Overall, a good visit. Staff behavior was polite but somewhat rushed. Great attention to detail throughout the session. There was a moderate delay before the service began. The cost matched the overall experience. The environment was mostly tidy. Visit reference 0080.",2026-02-08
CUST00081,10,103.80,Makeup,"The space looked reasonably maintained. Cost was in line with what I expected. Communication was clear, though not very warm. There was a moderate delay before the service began. Visit reference 0081.",2025-10-06
CUST00082,16,176.65,Spa,The treatment rooms were very clean. Everyone was courteous and patient. I left satisfied with the result. Visit reference 0082.,2025-10-10
CUST00083,3,99.57,Hair Coloring,Hygiene standards appeared excellent. The therapist explained each step clearly. Waiting time was minimal. I found the value for money reasonable. Visit reference 0083.,2025-10-04
CUST00084,4,99.09,Hair Coloring,Some areas did not look properly maintained. The quality of work was inconsistent. I was disappointed with several parts of the visit. Visit reference 0084.,2025-06-18
CUST00085,4,58.11,Facial,The environment did not feel as clean as expected. Cost was in line with what I expected. There were noticeable issues during the service. Staff behavior was polite but somewhat rushed. The waiting time was too long. Visit reference 0085.,2025-05-30
CUST00086,5,38.35,Makeup,The team was professional but distant. The schedule slipped by about fifteen minutes. I was disappointed with several parts of the visit. Some areas did not look properly maintained. The pricing felt high for what I received. Visit reference 0086.,2025-05-07
CUST00087,6,117.39,Massage,,2025-12-06
CUST00088,21,168.42,Spa,"Service quality was acceptable. The environment was mostly tidy. Communication was clear, though not very warm. Visit reference 0088.",2025-10-22
CUST00089,3,136.83,Hair Coloring,,2025-10-13
CUST00090,1,113.18,Nail Care,Check-in was quick and smooth. The space looked reasonably maintained. I left satisfied with the result. The staff were attentive and professional. The service quality was excellent. Visit reference 0090.,2025-10-29
CUST00091,11,239.38,Hair Coloring,The outcome was decent with room for improvement. Check-in was quick and smooth. Everyone was courteous and patient. Visit reference 0091.,2026-01-30
CUST00092,27,358.98,Makeup,The treatment rooms were very clean. The therapist explained each step clearly. The cost matched the overall experience. I waited a little longer than expected. The service quality was excellent. The team made me feel genuinely welcome. Visit reference 0092.,2026-03-29
CUST00093,10,104.68,Spa,The schedule slipped by about fifteen minutes. The service quality was excellent. I found the value for money reasonable. Visit reference 0093.,2025-11-13
CUST00094,12,206.27,Makeup,There was a moderate delay before the service began. The service quality was excellent. Visit reference 0094.,2026-02-04
CUST00095,21,,Massage,"The therapist explained each step clearly. Overall, a good visit. The price was acceptable, though not a bargain. Visit reference 0095.",2026-02-11
CUST00096,46,317.50,Hair Coloring,Service quality was acceptable. The environment was mostly tidy. Visit reference 0096.,2025-10-11
CUST00097,3,59.84,Massage,Cost was in line with what I expected. I expected better organization and communication. The schedule slipped by about fifteen minutes. I noticed avoidable mistakes in the service. Cleanliness was acceptable overall. Visit reference 0097.,2025-06-08
CUST00098,7,81.00,,"The quality of work was inconsistent. The price was acceptable, though not a bargain. I was disappointed with several parts of the visit. The space looked reasonably maintained. Visit reference 0098.",2025-05-06
CUST00099,30,336.64,Hair Coloring,The therapist explained each step clearly. Cost was in line with what I expected. There was a moderate delay before the service began. I had a fantastic experience today. The treatment rooms were very clean. Great attention to detail throughout the session. Visit reference 0099.,2026-02-09
CUST00100,18,133.58,Massage,I waited a little longer than expected. I left satisfied with the result. Visit reference 0100.,2025-11-02
CUST00101,12,180.20,Makeup,The service was solid and dependable. Pricing felt fair for the quality provided. I was seated almost immediately. The therapist explained each step clearly. The environment was mostly tidy. Visit reference 0101.,2026-01-28
CUST00102,26,283.29,Makeup,Staff behavior was polite but somewhat rushed. Cleanliness was acceptable overall. The service quality was excellent. Visit reference 0102.,2025-10-18
CUST00103,2,25.50,Facial,The overall experience felt frustrating. The final result did not match what I requested. Cleanliness standards need improvement. The pricing felt high for what I received. I had trouble getting clear answers from the team. Visit reference 0103.,2025-04-30
CUST00104,7,184.26,Nail Care,My stylist listened carefully to my preferences. The appointment went fairly well. Waiting time was minimal. The facility was spotless and comfortable. Visit reference 0104.,2026-01-01
CUST00105,17,157.51,Spa,Cleanliness was acceptable overall. The outcome was decent with room for improvement. The visit was average. Cost was in line with what I expected. The team was professional but distant. Visit reference 0105.,2025-09-24
CUST00106,22,126.55,Hair Coloring,The staff did not handle feedback well. Cleanliness was acceptable overall. Service quality was acceptable but not outstanding. There were noticeable issues during the service. Visit reference 0106.,2025-04-08
CUST00107,1,59.96,Facial,The quality of work was inconsistent. The staff did not handle feedback well. The service quality was far below acceptable. The delay was excessive and poorly communicated. Visit reference 0107.,2025-05-22
CUST00108,5,110.54,Hair Coloring,The environment was mostly tidy. I waited a little longer than expected. Staff behavior was polite but somewhat rushed. Visit reference 0108.,2025-11-30
CUST00109,4,178.83,Nail Care,"The service was solid and dependable. The treatment rooms were very clean. The price was acceptable, though not a bargain. I waited a little longer than expected. Visit reference 0109.",2026-02-06
CUST00110,10,112.53,Haircut,"The price was acceptable, though not a bargain. The result was fine for a routine visit. Communication was clear, though not very warm. Visit reference 0110.",2025-06-24
CUST00111,7,50.01,Haircut,,2025-11-14
CUST00112,0,10.00,Nail Care,This was my worst experience at a salon. Cleanliness standards need improvement. The staff seemed distracted and uncoordinated. I do not think the service justified the cost. I noticed avoidable mistakes in the service. Visit reference 0112.,2025-03-04
CUST00113,3,178.84,Hair Coloring,"Great attention to detail throughout the session. Overall, a good visit. The cost matched the overall experience. Hygiene standards appeared excellent. Waiting time was minimal. Visit reference 0113.",2025-12-30
CUST00114,20,224.31,Hair Coloring,The schedule slipped by about fifteen minutes. Great attention to detail throughout the session. The treatment rooms were very clean. Pricing felt fair for the quality provided. The therapist explained each step clearly. Visit reference 0114.,2025-10-15
CUST00115,9,133.62,Hair Coloring,,2025-12-17
CUST00116,3,53.92,,The visit was average. Cost was in line with what I expected. The result was fine for a routine visit. Cleanliness was acceptable overall. The schedule slipped by about fifteen minutes. Staff behavior was polite but somewhat rushed. Visit reference 0116.,2025-07-11
CUST00117,2,131.16,Nail Care,There was a moderate delay before the service began. Pricing felt fair for the quality provided. The staff were attentive and professional. One of the best appointments I have had. Hygiene standards appeared excellent. Great attention to detail throughout the session. Visit reference 0117.,2025-12-04
CUST00118,2,101.85,Facial,"The result was fine for a routine visit. The schedule slipped by about fifteen minutes. The price was acceptable, though not a bargain. Staff behavior was polite but somewhat rushed. The environment was mostly tidy. Visit reference 0118.",2025-09-14
CUST00119,5,83.12,Facial,Staff behavior was polite but somewhat rushed. The outcome was decent with room for improvement. Pricing felt fair for the quality provided. Visit reference 0119.,2025-09-12
CUST00120,7,190.45,Spa,Great attention to detail throughout the session. Pricing felt fair for the quality provided. I waited a little longer than expected. Visit reference 0120.,2026-02-05
CUST00121,20,247.04,Makeup,Hygiene standards appeared excellent. Great attention to detail throughout the session. The therapist explained each step clearly. The team made me feel genuinely welcome. Visit reference 0121.,2026-02-03
CUST00122,22,152.76,Haircut,"The outcome was decent with room for improvement. There was a moderate delay before the service began. Staff behavior was polite but somewhat rushed. The price was acceptable, though not a bargain. Service quality was acceptable. The space looked reasonably maintained. Visit reference 0122.",2025-08-24
CUST00123,10,105.61,Facial,I waited a little longer than expected. Pricing was standard compared to similar places. My stylist listened carefully to my preferences. The result was fine for a routine visit. Visit reference 0123.,2025-10-16
CUST00124,23,204.94,Makeup,"Communication was clear, though not very warm. Cleanliness was acceptable overall. The price was acceptable, though not a bargain. Nothing remarkable, just standard service. Visit reference 0124.",2025-09-19
CUST00125,25,191.13,Nail Care,The schedule slipped by about fifteen minutes. The result was fine for a routine visit. Cost was in line with what I expected. Service quality was acceptable. Visit reference 0125.,2025-08-31
CUST00126,30,,Hair Coloring,I was seated almost immediately. Pricing felt fair for the quality provided. The treatment rooms were very clean. Excellent service from start to finish. The staff were attentive and professional. Visit reference 0126.,2026-02-23
CUST00127,6,138.68,Spa,I found the value for money reasonable. The service quality was excellent. The therapist explained each step clearly. Visit reference 0127.,2025-10-28
CUST00128,1,105.74,Makeup,The cost matched the overall experience. My stylist listened carefully to my preferences. The final result looked polished and professional. Hygiene standards appeared excellent. A pleasant experience with minor issues. Visit reference 0128.,2025-11-16
CUST00129,9,160.74,Makeup,The schedule slipped by about fifteen minutes. The cost matched the overall experience. Visit reference 0129.,2025-11-24
CUST00130,3,181.76,Haircut,"The appointment went fairly well. The facility was spotless and comfortable. I was seated almost immediately. The price was acceptable, though not a bargain. Visit reference 0130.",2025-12-31
CUST00131,6,172.46,Makeup,Check-in was quick and smooth. Pricing felt fair for the quality provided. The final result looked polished and professional. Hygiene standards appeared excellent. Visit reference 0131.,2026-01-01
CUST00132,19,278.13,Facial,The service quality was excellent. I was seated almost immediately. Pricing was standard compared to similar places. The facility was spotless and comfortable. The staff handled requests adequately. I left satisfied with the result. Visit reference 0132.,2026-01-07
CUST00133,19,237.48,Nail Care,The treatment rooms were very clean. Waiting time was minimal. The outcome was decent with room for improvement. A pleasant experience with minor issues. The therapist explained each step clearly. Pricing was standard compared to similar places. Visit reference 0133.,2026-04-02
CUST00134,6,51.03,Hair Coloring,Cleanliness standards need improvement. Staff behavior was polite but somewhat rushed. The waiting time was too long. The outcome was decent with room for improvement. Visit reference 0134.,2025-04-06
CUST00135,4,89.31,Nail Care,Pricing was standard compared to similar places. Service quality was acceptable but not outstanding. The environment was mostly tidy. I was disappointed with several parts of the visit. Visit reference 0135.,2025-05-22
CUST00136,3,178.13,Spa,Cleanliness was acceptable overall. A pleasant experience with minor issues. Visit reference 0136.,2026-02-10
CUST00137,3,102.92,Nail Care,The final result did not match what I requested. I do not think the service justified the cost. The environment did not feel as clean as expected. I was disappointed with several parts of the visit. The staff did not handle feedback well. There was a moderate delay before the service began. Visit reference 0137.,2025-06-12
CUST00138,3,102.66,Facial,"Communication was clear, though not very warm. The environment did not feel as clean as expected. The price was acceptable, though not a bargain. The overall experience felt frustrating. I waited a little longer than expected. Visit reference 0138.",2025-07-11
CUST00139,28,276.85,Hair Coloring,One of the best appointments I have had. Hygiene standards appeared excellent. Pricing was standard compared to similar places. Great attention to detail throughout the session. I was seated almost immediately. The staff were attentive and professional. Visit reference 0139.,2026-01-05
CUST00140,7,119.51,Hair Coloring,The therapist explained each step clearly. The team made me feel genuinely welcome. The service quality was excellent. Visit reference 0140.,2025-11-11
CUST00141,9,75.30,Facial,"The space looked reasonably maintained. The price was acceptable, though not a bargain. I waited far beyond my appointment time. The staff did not handle feedback well. The outcome was decent with room for improvement. Visit reference 0141.",2025-05-14
CUST00142,38,256.22,Hair Coloring,The visit was average. The result was fine for a routine visit. Visit reference 0142.,2025-08-14
CUST00143,12,191.29,Spa,Cleanliness was acceptable overall. The staff were attentive and professional. Cost was in line with what I expected. Service quality was acceptable but not outstanding. I waited a little longer than expected. The service was solid and dependable. Visit reference 0143.,2025-11-26
CUST00144,9,202.33,Massage,I do not think the service justified the cost. I noticed avoidable mistakes in the service. Visit reference 0144.,2025-06-10
CUST00145,1,100.11,,"The treatment rooms were very clean. The service quality was excellent. Excellent service from start to finish. I was seated almost immediately. The price was acceptable, though not a bargain. Visit reference 0145.",2026-02-26
CUST00146,31,254.75,Spa,Staff behavior was polite but somewhat rushed. Cleanliness standards need improvement. The overall experience felt frustrating. The pricing felt high for what I received. I waited far beyond my appointment time. Visit reference 0146.,2025-08-28
CUST00147,27,315.16,Spa,The result was fine for a routine visit. The schedule slipped by about fifteen minutes. The environment was mostly tidy. Visit reference 0147.,2026-03-04
CUST00148,15,173.93,Spa,Everyone was courteous and patient. Service quality was acceptable but not outstanding. I found the value for money reasonable. The appointment went fairly well. Visit reference 0148.,2026-02-22
CUST00149,8,53.40,Nail Care,Cost was in line with what I expected. The schedule slipped by about fifteen minutes. Service quality was acceptable but not outstanding. Visit reference 0149.,2025-09-19
CUST00150,2,109.58,Hair Coloring,Service quality was acceptable. The environment was mostly tidy. Visit reference 0150.,2025-09-16
CUST00151,20,122.47,Nail Care,,2025-10-22
CUST00152,25,,Haircut,"The space looked reasonably maintained. The schedule slipped by about fifteen minutes. Communication was clear, though not very warm. Cost was in line with what I expected. The outcome was decent with room for improvement. Visit reference 0152.",2025-08-16
CUST00153,10,67.57,Nail Care,The environment did not feel as clean as expected. Service quality was acceptable but not outstanding. The staff did not handle feedback well. Visit reference 0153.,2025-06-14
CUST00154,2,78.00,Nail Care,"Cost was in line with what I expected. Nothing remarkable, just standard service. There was a moderate delay before the service began. The team was professional but distant. Visit reference 0154.",2025-09-12
CUST00155,5,208.44,Makeup,Pricing was standard compared to similar places. The therapist explained each step clearly. The team made me feel genuinely welcome. I was seated almost immediately. Hygiene standards appeared excellent. Visit reference 0155.,2026-02-04
CUST00156,3,178.50,Spa,The final result looked polished and professional. The cost matched the overall experience. The facility was spotless and comfortable. The staff were attentive and professional. Visit reference 0156.,2026-03-06
CUST00157,9,166.84,Haircut,I waited a little longer than expected. Pricing felt fair for the quality provided. The service quality was excellent. Everything exceeded my expectations. Visit reference 0157.,2025-10-26
CUST00158,7,140.64,Facial,"Great attention to detail throughout the session. The staff were attentive and professional. The facility was spotless and comfortable. Pricing was standard compared to similar places. Overall, a good visit. Visit reference 0158.",2026-02-16
CUST00159,19,180.88,Hair Coloring,The final result looked polished and professional. The space looked reasonably maintained. The appointment went fairly well. Cost was in line with what I expected. I waited a little longer than expected. The therapist explained each step clearly. Visit reference 0159.,2026-01-24
CUST00160,12,107.28,Massage,The staff handled requests adequately. The result was fine for a routine visit. I waited a little longer than expected. The visit was average. The space looked reasonably maintained. Visit reference 0160.,2025-08-11
CUST00161,6,96.95,Nail Care,"The visit was average. The result was fine for a routine visit. The schedule slipped by about fifteen minutes. Pricing was standard compared to similar places. Communication was clear, though not very warm. Cleanliness was acceptable overall. Visit reference 0161.",2025-09-23
CUST00162,33,338.85,Makeup,"The schedule slipped by about fifteen minutes. The environment was mostly tidy. Pricing was standard compared to similar places. Communication was clear, though not very warm. Visit reference 0162.",2025-11-05
CUST00163,0,10.00,Nail Care,Staff behavior was polite but somewhat rushed. The final bill felt overpriced. The space looked reasonably maintained. There was a moderate delay before the service began. Visit reference 0163.,2025-05-30
CUST00164,4,45.02,Nail Care,The experience met basic expectations. I waited a little longer than expected. The outcome was decent with room for improvement. Visit reference 0164.,2025-08-05
